window,issue_utc_hour,candidate_count,first_origin,last_origin,freeze_time
spring,1,29,2017-03-02 01:00:00+00:00,2017-03-30 01:00:00+00:00,2017-04-01 00:00:00+00:00
spring,2,29,2017-03-02 02:00:00+00:00,2017-03-30 02:00:00+00:00,2017-04-01 00:00:00+00:00
spring,3,29,2017-03-02 03:00:00+00:00,2017-03-30 03:00:00+00:00,2017-04-01 00:00:00+00:00
spring,4,29,2017-03-02 04:00:00+00:00,2017-03-30 04:00:00+00:00,2017-04-01 00:00:00+00:00
spring,5,29,2017-03-02 05:00:00+00:00,2017-03-30 05:00:00+00:00,2017-04-01 00:00:00+00:00
spring,6,29,2017-03-02 06:00:00+00:00,2017-03-30 06:00:00+00:00,2017-04-01 00:00:00+00:00
spring,7,29,2017-03-02 07:00:00+00:00,2017-03-30 07:00:00+00:00,2017-04-01 00:00:00+00:00
spring,8,29,2017-03-02 08:00:00+00:00,2017-03-30 08:00:00+00:00,2017-04-01 00:00:00+00:00
spring,9,29,2017-03-02 09:00:00+00:00,2017-03-30 09:00:00+00:00,2017-04-01 00:00:00+00:00
spring,10,29,2017-03-02 10:00:00+00:00,2017-03-30 10:00:00+00:00,2017-04-01 00:00:00+00:00
spring,11,29,2017-03-02 11:00:00+00:00,2017-03-30 11:00:00+00:00,2017-04-01 00:00:00+00:00
spring,12,29,2017-03-02 12:00:00+00:00,2017-03-30 12:00:00+00:00,2017-04-01 00:00:00+00:00
spring,13,29,2017-03-02 13:00:00+00:00,2017-03-30 13:00:00+00:00,2017-04-01 00:00:00+00:00
spring,14,29,2017-03-02 14:00:00+00:00,2017-03-30 14:00:00+00:00,2017-04-01 00:00:00+00:00
spring,15,29,2017-03-02 15:00:00+00:00,2017-03-30 15:00:00+00:00,2017-04-01 00:00:00+00:00
spring,16,29,2017-03-02 16:00:00+00:00,2017-03-30 16:00:00+00:00,2017-04-01 00:00:00+00:00
spring,17,29,2017-03-02 17:00:00+00:00,2017-03-30 17:00:00+00:00,2017-04-01 00:00:00+00:00
spring,18,29,2017-03-02 18:00:00+00:00,2017-03-30 18:00:00+00:00,2017-04-01 00:00:00+00:00
spring,19,29,2017-03-02 19:00:00+00:00,2017-03-30 19:00:00+00:00,2017-04-01 00:00:00+00:00
spring,20,29,2017-03-02 20:00:00+00:00,2017-03-30 20:00:00+00:00,2017-04-01 00:00:00+00:00
spring,21,29,2017-03-02 21:00:00+00:00,2017-03-30 21:00:00+00:00,2017-04-01 00:00:00+00:00
spring,22,29,2017-03-02 22:00:00+00:00,2017-03-30 22:00:00+00:00,2017-04-01 00:00:00+00:00
spring,23,29,2017-03-02 23:00:00+00:00,2017-03-30 23:00:00+00:00,2017-04-01 00:00:00+00:00
summer,0,29,2017-06-01 00:00:00+00:00,2017-06-29 00:00:00+00:00,2017-07-01 00:00:00+00:00
summer,1,29,2017-06-01 01:00:00+00:00,2017-06-29 01:00:00+00:00,2017-07-01 00:00:00+00:00
summer,2,29,2017-06-01 02:00:00+00:00,2017-06-29 02:00:00+00:00,2017-07-01 00:00:00+00:00
summer,3,29,2017-06-01 03:00:00+00:00,2017-06-29 03:00:00+00:00,2017-07-01 00:00:00+00:00
summer,4,29,2017-06-01 04:00:00+00:00,2017-06-29 04:00:00+00:00,2017-07-01 00:00:00+00:00
summer,5,29,2017-06-01 05:00:00+00:00,2017-06-29 05:00:00+00:00,2017-07-01 00:00:00+00:00
summer,6,29,2017-06-01 06:00:00+00:00,2017-06-29 06:00:00+00:00,2017-07-01 00:00:00+00:00
summer,7,29,2017-06-01 07:00:00+00:00,2017-06-29 07:00:00+00:00,2017-07-01 00:00:00+00:00
summer,8,29,2017-06-01 08:00:00+00:00,2017-06-29 08:00:00+00:00,2017-07-01 00:00:00+00:00
summer,9,29,2017-06-01 09:00:00+00:00,2017-06-29 09:00:00+00:00,2017-07-01 00:00:00+00:00
summer,10,29,2017-06-01 10:00:00+00:00,2017-06-29 10:00:00+00:00,2017-07-01 00:00:00+00:00
summer,11,29,2017-06-01 11:00:00+00:00,2017-06-29 11:00:00+00:00,2017-07-01 00:00:00+00:00
summer,12,29,2017-06-01 12:00:00+00:00,2017-06-29 12:00:00+00:00,2017-07-01 00:00:00+00:00
summer,13,29,2017-06-01 13:00:00+00:00,2017-06-29 13:00:00+00:00,2017-07-01 00:00:00+00:00
summer,14,29,2017-06-01 14:00:00+00:00,2017-06-29 14:00:00+00:00,2017-07-01 00:00:00+00:00
summer,15,29,2017-06-01 15:00:00+00:00,2017-06-29 15:00:00+00:00,2017-07-01 00:00:00+00:00
summer,16,29,2017-06-01 16:00:00+00:00,2017-06-29 16:00:00+00:00,2017-07-01 00:00:00+00:00
summer,17,29,2017-06-01 17:00:00+00:00,2017-06-29 17:00:00+00:00,2017-07-01 00:00:00+00:00
summer,18,29,2017-06-01 18:00:00+00:00,2017-06-29 18:00:00+00:00,2017-07-01 00:00:00+00:00
summer,19,29,2017-06-01 19:00:00+00:00,2017-06-29 19:00:00+00:00,2017-07-01 00:00:00+00:00
summer,20,29,2017-06-01 20:00:00+00:00,2017-06-29 20:00:00+00:00,2017-07-01 00:00:00+00:00
summer,21,29,2017-06-01 21:00:00+00:00,2017-06-29 21:00:00+00:00,2017-07-01 00:00:00+00:00
summer,22,29,2017-06-01 22:00:00+00:00,2017-06-29 22:00:00+00:00,2017-07-01 00:00:00+00:00
summer,23,29,2017-06-01 23:00:00+00:00,2017-06-29 23:00:00+00:00,2017-07-01 00:00:00+00:00
autumn,0,29,2017-09-01 00:00:00+00:00,2017-09-29 00:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,1,29,2017-09-01 01:00:00+00:00,2017-09-29 01:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,2,29,2017-09-01 02:00:00+00:00,2017-09-29 02:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,3,29,2017-09-01 03:00:00+00:00,2017-09-29 03:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,4,29,2017-09-01 04:00:00+00:00,2017-09-29 04:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,5,29,2017-09-01 05:00:00+00:00,2017-09-29 05:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,6,29,2017-09-01 06:00:00+00:00,2017-09-29 06:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,7,29,2017-09-01 07:00:00+00:00,2017-09-29 07:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,8,29,2017-09-01 08:00:00+00:00,2017-09-29 08:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,9,29,2017-09-01 09:00:00+00:00,2017-09-29 09:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,10,29,2017-09-01 10:00:00+00:00,2017-09-29 10:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,11,29,2017-09-01 11:00:00+00:00,2017-09-29 11:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,12,29,2017-09-01 12:00:00+00:00,2017-09-29 12:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,13,29,2017-09-01 13:00:00+00:00,2017-09-29 13:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,14,29,2017-09-01 14:00:00+00:00,2017-09-29 14:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,15,29,2017-09-01 15:00:00+00:00,2017-09-29 15:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,16,29,2017-09-01 16:00:00+00:00,2017-09-29 16:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,17,29,2017-09-01 17:00:00+00:00,2017-09-29 17:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,18,29,2017-09-01 18:00:00+00:00,2017-09-29 18:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,19,29,2017-09-01 19:00:00+00:00,2017-09-29 19:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,20,29,2017-09-01 20:00:00+00:00,2017-09-29 20:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,21,29,2017-09-01 21:00:00+00:00,2017-09-29 21:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,22,29,2017-09-01 22:00:00+00:00,2017-09-29 22:00:00+00:00,2017-10-01 00:00:00+00:00
autumn,23,29,2017-09-01 23:00:00+00:00,2017-09-29 23:00:00+00:00,2017-10-01 00:00:00+00:00
