experiment,window,grid_limit_kw,seed,scenario_mode,execution_rule,forecast_lead_hours,population,sample_count,mae_kw,bias_forecast_minus_actual_kw,rmse_kw,p10_p90_coverage,ensemble_range_coverage,below_ensemble_min_fraction,mean_p10_p90_width_kw,p10_p90_strict_coverage,ensemble_range_strict_coverage,above_ensemble_max_fraction,below_p10_fraction,above_p90_fraction,equal_ensemble_min_fraction,equal_ensemble_max_fraction,equal_p10_fraction,equal_p90_fraction,mean_scenario_member_count,mean_scenario_unique_member_count,mean_observation_tied_member_count,mean_observation_rank_lower,mean_observation_rank_upper,mean_observation_rank_midpoint,mean_observation_pit_lower,mean_observation_pit_upper,mean_observation_pit_midpoint,ideal_below_ensemble_min_fraction,ideal_p10_p90_coverage,ideal_ensemble_range_coverage,tie_tolerance_kw,observation_tie_fraction,any_member_ties_fraction,mean_rank_interval_width,mean_pit_interval_width
sampled_28d,winter,2.5,42,sampled,planned,5,all_hours,168,0.1621970455662734,0.1491839350486288,0.3336207135666682,0.8988095238095238,0.9523809523809523,0.03571428571428571,0.38003394717261907,0.2261904761904762,0.25,0.011904761904761904,0.08928571428571429,0.011904761904761904,0.7023809523809523,0.625,0.6726190476190477,0.625,12.0,3.9761904761904763,7.7023809523809526,2.357142857142857,10.05952380952381,6.208333333333333,0.1043956043956044,0.7738095238095238,0.43910256410256415,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7023809523809523,0.9880952380952381,7.7023809523809526,0.6694139194139194
sampled_28d,winter,2.5,42,sampled,planned,5,daylight_proxy,84,0.3243940911325468,0.29836787009725774,0.4718109378145718,0.7976190476190477,0.9047619047619048,0.07142857142857142,0.7600678943452381,0.4523809523809524,0.5,0.023809523809523808,0.17857142857142858,0.023809523809523808,0.40476190476190477,0.25,0.34523809523809523,0.25,12.0,6.9523809523809526,3.4047619047619047,3.7142857142857144,7.119047619047619,5.416666666666667,0.20879120879120877,0.5476190476190477,0.3782051282051282,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.40476190476190477,0.9761904761904762,3.4047619047619047,0.3388278388278388
sampled_28d,winter,2.5,42,sampled,planned,6,all_hours,168,0.16219704556627337,0.1491839350486288,0.3336207135666682,0.8988095238095238,0.9642857142857143,0.02976190476190476,0.3566657864317602,0.22023809523809523,0.25595238095238093,0.005952380952380952,0.08928571428571429,0.011904761904761904,0.7083333333333334,0.625,0.6785714285714286,0.625,12.0,3.988095238095238,7.7023809523809526,2.3988095238095237,10.101190476190476,6.25,0.1076007326007326,0.7770146520146519,0.4423076923076923,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7083333333333334,0.9702380952380952,7.7023809523809526,0.6694139194139194
sampled_28d,winter,2.5,42,sampled,planned,6,daylight_proxy,84,0.3243940911325468,0.2983678700972577,0.47181093781457184,0.7976190476190477,0.9285714285714286,0.05952380952380952,0.7133315728635206,0.44047619047619047,0.5119047619047619,0.011904761904761904,0.17857142857142858,0.023809523809523808,0.4166666666666667,0.25,0.35714285714285715,0.25,12.0,6.976190476190476,3.4047619047619047,3.7976190476190474,7.2023809523809526,5.5,0.2152014652014652,0.5540293040293041,0.3846153846153846,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.4166666666666667,0.9404761904761905,3.4047619047619047,0.3388278388278388
sampled_28d,winter,2.5,42,sampled,planned,7,all_hours,168,0.16219704556627337,0.1491839350486288,0.3336207135666682,0.8809523809523809,0.9464285714285714,0.03571428571428571,0.366656037414966,0.21428571428571427,0.23809523809523808,0.017857142857142856,0.10119047619047619,0.017857142857142856,0.7083333333333334,0.625,0.6666666666666666,0.625,12.0,3.9702380952380953,7.696428571428571,2.3511904761904763,10.047619047619047,6.199404761904762,0.10393772893772893,0.772893772893773,0.43841575091575086,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7083333333333334,0.9761904761904762,7.696428571428571,0.6689560439560439
sampled_28d,winter,2.5,42,sampled,planned,7,daylight_proxy,84,0.3243940911325468,0.2983678700972576,0.47181093781457184,0.7619047619047619,0.8928571428571429,0.07142857142857142,0.733312074829932,0.42857142857142855,0.47619047619047616,0.03571428571428571,0.20238095238095238,0.03571428571428571,0.4166666666666667,0.25,0.3333333333333333,0.25,12.0,6.940476190476191,3.392857142857143,3.7023809523809526,7.095238095238095,5.398809523809524,0.20787545787545786,0.5457875457875458,0.3768315018315018,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.4166666666666667,0.9523809523809523,3.392857142857143,0.3379120879120879
sampled_28d,winter,2.5,42,sampled,planned,8,all_hours,168,0.1621355952048788,0.14912248468723424,0.3336025221125435,0.9047619047619048,0.9583333333333334,0.02976190476190476,0.368077699829932,0.22023809523809523,0.24404761904761904,0.011904761904761904,0.07738095238095238,0.017857142857142856,0.7142857142857143,0.625,0.6845238095238095,0.625,12.0,3.9166666666666665,7.732142857142857,2.375,10.107142857142858,6.241071428571429,0.10576923076923075,0.7774725274725276,0.44162087912087905,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7142857142857143,0.9821428571428571,7.732142857142857,0.6717032967032966
sampled_28d,winter,2.5,42,sampled,planned,8,daylight_proxy,84,0.3242711904097576,0.2982449693744685,0.4717852112134294,0.8095238095238095,0.9166666666666666,0.05952380952380952,0.736155399659864,0.44047619047619047,0.4880952380952381,0.023809523809523808,0.15476190476190477,0.03571428571428571,0.42857142857142855,0.25,0.36904761904761907,0.25,12.0,6.833333333333333,3.4642857142857144,3.75,7.214285714285714,5.482142857142857,0.21153846153846154,0.554945054945055,0.38324175824175827,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.42857142857142855,0.9642857142857143,3.4642857142857144,0.3434065934065934
sampled_28d,winter,2.5,42,sampled,planned,9,all_hours,168,0.16202307461070364,0.1490099640930591,0.33350994407806706,0.9107142857142857,0.9464285714285714,0.041666666666666664,0.3815888904389881,0.23214285714285715,0.25,0.011904761904761904,0.07738095238095238,0.011904761904761904,0.6964285714285714,0.625,0.6785714285714286,0.625,12.0,3.9166666666666665,7.7023809523809526,2.4107142857142856,10.113095238095237,6.261904761904762,0.1085164835164835,0.7779304029304028,0.44322344322344315,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.6964285714285714,0.9880952380952381,7.7023809523809526,0.6694139194139194
sampled_28d,winter,2.5,42,sampled,planned,9,daylight_proxy,84,0.3240461492214073,0.29801992818611817,0.47165428610149496,0.8214285714285714,0.8928571428571429,0.08333333333333333,0.7631777808779762,0.4642857142857143,0.5,0.023809523809523808,0.15476190476190477,0.023809523809523808,0.39285714285714285,0.25,0.35714285714285715,0.25,12.0,6.833333333333333,3.4047619047619047,3.8214285714285716,7.226190476190476,5.523809523809524,0.217032967032967,0.5558608058608058,0.3864468864468864,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.39285714285714285,0.9761904761904762,3.4047619047619047,0.3388278388278388
sampled_28d,winter,2.5,42,sampled,planned,10,all_hours,168,0.16190474114450465,0.14889163062686012,0.33334880573146375,0.9047619047619048,0.9464285714285714,0.047619047619047616,0.3582842560852466,0.20833333333333334,0.24404761904761904,0.005952380952380952,0.07142857142857142,0.023809523809523808,0.7023809523809523,0.625,0.6964285714285714,0.6309523809523809,12.0,3.7738095238095237,7.839285714285714,2.3392857142857144,10.178571428571429,6.258928571428571,0.10302197802197802,0.7829670329670331,0.4429945054945056,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7023809523809523,0.9940476190476191,7.839285714285714,0.679945054945055
sampled_28d,winter,2.5,42,sampled,planned,10,daylight_proxy,84,0.3238094822890093,0.29778326125372023,0.47142640206631015,0.8095238095238095,0.8928571428571429,0.09523809523809523,0.7165685121704933,0.4166666666666667,0.4880952380952381,0.011904761904761904,0.14285714285714285,0.047619047619047616,0.40476190476190477,0.25,0.39285714285714285,0.2619047619047619,12.0,6.5476190476190474,3.6785714285714284,3.6785714285714284,7.357142857142857,5.517857142857143,0.20604395604395603,0.5659340659340659,0.38598901098901095,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.40476190476190477,0.9880952380952381,3.6785714285714284,0.3598901098901099
sampled_28d,winter,2.5,42,sampled,planned,11,all_hours,168,0.1613628984308567,0.14834978791321213,0.33218722012987595,0.8869047619047619,0.9464285714285714,0.041666666666666664,0.34883418699511054,0.20238095238095238,0.23809523809523808,0.011904761904761904,0.08333333333333333,0.02976190476190476,0.7083333333333334,0.625,0.6845238095238095,0.625,12.0,3.738095238095238,7.815476190476191,2.357142857142857,10.172619047619047,6.2648809523809526,0.10439560439560439,0.7825091575091575,0.44345238095238093,0.07692307692307689,0.6923076923076924,0.846153846153846,1e-09,0.7083333333333334,1.0,7.815476190476191,0.678113553113553
sampled_28d,winter,2.5,42,sampled,planned,11,daylight_proxy,84,0.3227257968617134,0.2966995758264243,0.4697836719546874,0.7738095238095238,0.8928571428571429,0.08333333333333333,0.6976683739902212,0.40476190476190477,0.47619047619047616,0.023809523809523808,0.16666666666666666,0.05952380952380952,0.4166666666666667,0.25,0.36904761904761907,0.25,12.0,6.476190476190476,3.630952380952381,3.7142857142857144,7.345238095238095,5.529761904761905,0.20879120879120877,0.5650183150183149,0.3869047619047618,0.07692307692307687,0.6923076923076925,0.8461538461538457,1e-09,0.4166666666666667,1.0,3.630952380952381,0.3562271062271063
