date_utc,total_loss_eur,total_operating_cost_eur,total_grid_cost_eur,total_battery_cost_eur,total_shortage_cost_eur,total_inventory_adjustment_eur,total_ens_kwh,total_grid_import_kwh,total_curtailment_kwh,total_throughput_kwh,total_solve_seconds,total_actual_expense_eur,hours,expected_hours,complete_block,partial_block,peak_grid_import_kw,hours_with_ens,grid_limit_kw,seed,experiment,window,scenario_mode,execution_rule,policy,risk_weight,tail_tiebreak
2017-10-07 00:00:00+00:00,8.499610382408036,7.89238867188185,7.8360839843750005,0.0563046874999922,6.856737400084967e-12,0.6072217105261861,6.856737400084967e-13,45.134765625,0.0,5.630468749999315,0.0,7.8923886718749925,24,24,True,False,2.5,0,2.5,42,sampled_28d,autumn,sampled,planned,perfect_foresight,0.0,True
2017-10-01 00:00:00+00:00,10.319878763863702,9.625528763863702,8.33096962716239,0.0713215994989294,1.223237537202384,0.69435,0.12232375372023828,48.110873904273625,0.0,7.13215994989304,0.0,8.402291226661319,24,24,True,False,2.5,3,2.5,42,sampled_28d,autumn,sampled,planned,deterministic,0.0,True
2017-10-02 00:00:00+00:00,11.015888006562731,11.058638006562733,9.067779721795945,0.0843641441417864,1.9064941406249991,-0.04274999999999955,0.1906494140624998,52.36795337785993,0.0,8.436414414178754,0.0,9.152143865937731,24,24,True,False,2.5,2,2.5,42,sampled_28d,autumn,sampled,planned,deterministic,0.0,True
2017-10-03 00:00:00+00:00,10.373258116571341,10.373258116571341,7.752940091378349,0.0644912022763196,2.5558268229166714,2.914335439641036e-16,0.255582682291667,44.73530592564175,1.8650692894345235,6.449120227632067,0.0,7.817431293654668,24,24,True,False,2.5,4,2.5,42,sampled_28d,autumn,sampled,planned,deterministic,0.0,True
2017-10-04 00:00:00+00:00,9.804268086199079,9.804268086199079,7.823759648786273,0.0740142967878058,1.9064941406249991,4.0245584642661925e-16,0.1906494140624998,45.19881794956753,0.0,7.401429678780688,0.0,7.8977739455740785,24,24,True,False,2.5,2,2.5,42,sampled_28d,autumn,sampled,planned,deterministic,0.0,True
2017-10-05 00:00:00+00:00,8.853587547723679,8.853587547723679,7.08397749139695,0.067298858410062,1.702311197916666,3.885780586188048e-16,0.17023111979166658,40.92305430966332,5.658155459449404,6.729885841006321,0.0,7.151276349807012,24,24,True,False,2.5,2,2.5,42,sampled_28d,autumn,sampled,planned,deterministic,0.0,True
2017-10-06 00:00:00+00:00,10.881543180658253,10.881543180658253,8.903104764811198,0.07194427522205041,1.9064941406250036,4.579669976578771e-16,0.19064941406250024,51.34738911655971,0.0,7.194427522205167,0.0,8.975049040033248,24,24,True,False,2.5,2,2.5,42,sampled_28d,autumn,sampled,planned,deterministic,0.0,True
2017-10-07 00:00:00+00:00,19.640997675781286,19.598247675781284,8.2072412109375,0.0654400585937486,11.325566406250033,0.04275000000000036,1.1325566406250032,47.2556640625,0.0748046874999999,6.544005859374996,0.0,8.27268126953125,24,24,True,False,2.5,6,2.5,42,sampled_28d,autumn,sampled,planned,deterministic,0.0,True
2017-10-01 00:00:00+00:00,9.176835680243222,8.482485680243222,8.3689992100162,0.1134864702270159,4.440892098500626e-15,0.6943500000000001,4.440892098500626e-16,48.4492856945767,0.0,11.348647022701698,6.418459400185384,8.482485680243217,24,24,True,False,2.5,0,2.5,42,sampled_28d,autumn,sampled,planned,stochastic,0.0,True
2017-10-02 00:00:00+00:00,9.19597178093002,9.23872178093002,9.104799736440196,0.1339220444898212,0.0,-0.04274999999999951,0.0,52.81257889094653,0.0,13.392204448982243,5.879312600241973,9.238721780930018,24,24,True,False,2.5,0,2.5,42,sampled_28d,autumn,sampled,planned,stochastic,0.0,True
