scale,metric,unit,alpha,mean,var,cvar,sample_count,tail_equivalent_count,excluded_partial_blocks,experiment,grid_limit_kw,seed,policy
utc_day,inventory_adjustment,EUR/block,0.9,0.09613928571428561,0.6101360711348687,0.6702888774671052,28,2.7999999999999994,0,all_matching_28d,2.5,42,perfect_foresight
utc_day,adjusted_loss,EUR/block,0.9,8.019645439180007,10.214543297697368,10.506181648624542,28,2.7999999999999994,0,all_matching_28d,2.5,42,perfect_foresight
utc_day,ens,kWh/block,0.9,3.018220594088104e-14,2.220446049250313e-15,3.002360265164888e-13,28,2.7999999999999994,0,all_matching_28d,2.5,42,perfect_foresight
nonoverlapping_24h,actual_expense,EUR/block,0.9,7.923506153465418,9.925015213815788,10.163290681537829,28,2.7999999999999994,0,all_matching_28d,2.5,42,perfect_foresight
nonoverlapping_24h,shortage_penalty,EUR/block,0.9,3.018220594088104e-13,2.220446049250313e-14,3.0023602651648883e-12,28,2.7999999999999994,0,all_matching_28d,2.5,42,perfect_foresight
nonoverlapping_24h,inventory_adjustment,EUR/block,0.9,0.09613928571428561,0.6101360711348687,0.6702888774671052,28,2.7999999999999994,0,all_matching_28d,2.5,42,perfect_foresight
nonoverlapping_24h,adjusted_loss,EUR/block,0.9,8.019645439180007,10.214543297697368,10.506181648624542,28,2.7999999999999994,0,all_matching_28d,2.5,42,perfect_foresight
nonoverlapping_24h,ens,kWh/block,0.9,3.018220594088104e-14,2.220446049250313e-15,3.002360265164888e-13,28,2.7999999999999994,0,all_matching_28d,2.5,42,perfect_foresight
hour,actual_expense,EUR/hour,0.9,0.3397165430584698,0.5045,0.505695290507968,672,67.19999999999999,0,all_matching_28d,2.5,42,deterministic
hour,shortage_penalty,EUR/hour,0.9,0.09458447886702719,0.0,0.9458447886702721,672,67.19999999999999,0,all_matching_28d,2.5,42,deterministic
hour,inventory_adjustment,EUR/hour,0.9,0.004005803571428583,0.0852631578947368,0.1648618807193416,672,67.19999999999999,0,all_matching_28d,2.5,42,deterministic
