experiment,window,grid_limit_kw,seed,forecast_lead_hours,population,sample_count,mae_kw,bias_forecast_minus_actual_kw,rmse_kw,p10_p90_coverage,ensemble_range_coverage,below_ensemble_min_fraction,mean_p10_p90_width_kw
grid_capacity,winter,3.0,42,3,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,1.0,1.0,0.0,0.711123511904762
grid_capacity,winter,3.0,42,4,all_hours,24,0.14221835666232638,0.1103697277250744,0.2845261651018324,1.0,1.0,0.0,0.34084937686011907
grid_capacity,winter,3.0,42,4,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,1.0,1.0,0.0,0.681698753720238
grid_capacity,winter,3.0,42,5,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.37958635602678575
grid_capacity,winter,3.0,42,5,daylight_proxy,12,0.2844367133246527,0.22073945545014875,0.40238076153701774,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.7591727120535715
grid_capacity,winter,3.0,42,6,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.9583333333333334,1.0,0.0,0.3647257486979167
grid_capacity,winter,3.0,42,6,daylight_proxy,12,0.28443671332465276,0.22073945545014875,0.4023807615370178,0.9166666666666666,1.0,0.0,0.7294514973958334
grid_capacity,winter,3.0,42,7,all_hours,24,0.14221835666232638,0.11036972772507438,0.2845261651018324,0.9166666666666666,0.9583333333333334,0.041666666666666664,0.41653006417410715
grid_capacity,winter,3.0,42,7,daylight_proxy,12,0.28443671332465276,0.2207394554501488,0.40238076153701774,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.8330601283482143
grid_capacity,winter,3.0,42,8,all_hours,24,0.14220382448226684,0.11035519554501487,0.28452086611399174,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.3689778645833333
grid_capacity,winter,3.0,42,8,daylight_proxy,12,0.2844076489645337,0.22071039109002974,0.4023732676365467,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.7379557291666666
grid_capacity,winter,3.0,42,9,all_hours,24,0.1430350651816716,0.11118643624441964,0.28537811497770854,1.0,1.0,0.0,0.4029541015625
grid_capacity,winter,3.0,42,9,daylight_proxy,12,0.2860701303633432,0.22237287248883927,0.4035856006059439,1.0,1.0,0.0,0.805908203125
grid_capacity,winter,3.0,42,10,all_hours,24,0.1453485882471478,0.11349995930989581,0.2893371526243821,0.9583333333333334,1.0,0.0,0.3964872814360119
grid_capacity,winter,3.0,42,10,daylight_proxy,12,0.2906971764942956,0.22699991861979163,0.40918452533981536,0.9166666666666666,1.0,0.0,0.7929745628720241
grid_capacity,winter,3.0,42,11,all_hours,24,0.14936237637958827,0.1175137474423363,0.30032433708802264,0.9583333333333334,1.0,0.0,0.36770484561011907
grid_capacity,winter,3.0,42,11,daylight_proxy,12,0.2987247527591766,0.2350274948846726,0.4247227506205907,0.9166666666666666,1.0,0.0,0.735409691220238
grid_capacity,winter,3.0,42,12,all_hours,24,0.13513537210131446,0.10328674316406246,0.264443671967198,0.9583333333333334,1.0,0.0,0.41948590959821425
grid_capacity,winter,3.0,42,12,daylight_proxy,12,0.2702707442026289,0.20657348632812497,0.37397982737975316,0.9166666666666666,1.0,0.0,0.8389718191964287
grid_capacity,winter,3.0,42,13,all_hours,24,0.1310665554470486,0.07862272716703866,0.2598499086517071,0.9583333333333334,1.0,0.0,0.3990885416666667
grid_capacity,winter,3.0,42,13,daylight_proxy,12,0.2621331108940972,0.15724545433407736,0.367483264996654,0.9166666666666666,1.0,0.0,0.7981770833333334
grid_capacity,winter,3.0,42,14,all_hours,24,0.14536050463479663,0.12476530529203868,0.28870643747057523,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.3637288411458333
grid_capacity,winter,3.0,42,14,daylight_proxy,12,0.2907210092695932,0.24953061058407736,0.4082925594153074,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.7274576822916669
grid_capacity,winter,3.0,42,15,all_hours,24,0.16933860173301088,0.14874340239025297,0.31732140908006157,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.3452555338541667
