grid_limit_kw,seed,window,experiment,hours,policy,risk_weight,tail_tiebreak,hourly_sample_count,total_loss_eur,total_accounted_loss_eur,total_actual_expense_eur,total_operating_cost_eur,total_grid_cost_eur,total_battery_cost_eur,total_shortage_cost_eur,total_inventory_adjustment_eur,mean_hourly_loss_eur,var_hourly_loss_eur,cvar_hourly_loss_eur,upper_tail_equivalent_hours,total_ens_kwh,eens_kwh_per_hour,lolp,total_grid_import_kwh,peak_grid_import_kw,total_curtailment_kwh,total_throughput_kwh,total_solve_seconds,max_residual,hours_with_loss,hours_with_physical_override,total_physical_override_kwh,perfect_foresight_loss_eur,regret_eur
3.0,42,winter,grid_capacity,24,stochastic,0.0,True,24,10.326265589755641,10.326265589755641,9.71741558975564,9.717415589755639,9.592810326597746,0.12460526315789383,0.0,0.6088500000000001,0.43026106623981836,0.6394736842105264,0.639824561403509,2.3999999999999995,0.0,0.0,0.0,56.15056537828947,3.0,0.0,12.460526315789473,5.860013999394141,7.09432512735475e-13,24,0,2.9490299091605727e-17,10.326146309621933,0.00011928013370798851
3.0,42,winter,grid_capacity,24,cvar_0.5,0.5,True,24,10.32615803883488,10.32615803883488,9.71730803883488,9.717308038834881,9.592854062646852,0.12445397618802781,0.0,0.6088500000000001,0.4302565849514533,0.6394774614147675,0.6398251909375491,2.3999999999999995,0.0,0.0,0.0,56.14979005741894,3.0,0.0,12.445397618802868,7.401403499767184,8.816281038548368e-13,24,0,2.775557561562892e-17,10.326146309621933,1.172921294667617e-05
2.5,7,winter,seed_repeat,24,perfect_foresight,0.0,True,24,10.387722549125693,10.387722549125693,9.693372549125693,9.693372549125693,9.62784739655471,0.0655251525709826,0.0,0.6943499999999998,0.4328217728802372,0.6396315789473684,0.6396315789473684,2.3999999999999995,0.0,0.0,0.0,55.37341369459834,2.5,0.0,6.5525152570983405,0.032197399996221,4.440892098500626e-16,24,0,0.0,10.387722549125693,0.0
2.5,7,winter,seed_repeat,24,deterministic,0.0,True,24,13.838436987552662,13.838436987552662,9.617557039635994,13.144086987552662,9.559465929420591,0.058091110215402,3.526529947916668,0.6943499999999998,0.5766015411480275,0.6396315789473684,1.8822472137986574,2.3999999999999995,0.35265299479166673,0.014693874782986114,0.125,54.98266245383195,2.5,0.0,5.809111021540284,0.8335009003058066,2.458033776520097e-13,24,1,4.8828125000288665e-05,10.387722549125693,3.450714438426969
2.5,7,winter,seed_repeat,24,stochastic,0.0,True,24,10.476978675364654,10.476978675364654,9.69613313965037,9.782628675364654,9.626592327859122,0.06954081179124749,0.0864955357142838,0.6943499999999999,0.43654077814019393,0.6396315789473684,0.6396315789473684,2.3999999999999995,0.0086495535714283,0.00036039806547617917,0.041666666666666664,55.3853437349284,2.5,0.0,6.954081179124833,6.546651799581014,4.0634162701280736e-14,24,0,1.1102230246251563e-16,10.387722549125693,0.08925612623896129
2.5,7,winter,seed_repeat,24,cvar_0.5,0.5,True,24,10.474974831893686,10.474974831893686,9.694129296179387,9.780624831893686,9.627407199510907,0.0667220966684795,0.08649553571429712,0.6943499999999998,0.43645728466223693,0.6396315789473684,0.6396315789473739,2.3999999999999995,0.008649553571429632,0.0003603980654762347,0.041666666666666664,55.37089828291947,2.5,0.0,6.67220966684804,7.5386885000625625,1.7152945730458669e-13,24,0,1.1102230246251563e-16,10.387722549125693,0.08725228276799335
2.5,99,winter,seed_repeat,24,perfect_foresight,0.0,True,24,10.387722549125693,10.387722549125693,9.693372549125693,9.693372549125693,9.62784739655471,0.0655251525709826,0.0,0.6943499999999998,0.4328217728802372,0.6396315789473684,0.6396315789473684,2.3999999999999995,0.0,0.0,0.0,55.37341369459834,2.5,0.0,6.5525152570983405,0.0313662000698968,4.440892098500626e-16,24,0,0.0,10.387722549125693,0.0
2.5,99,winter,seed_repeat,24,deterministic,0.0,True,24,13.838436987552662,13.838436987552662,9.617557039635994,13.144086987552662,9.559465929420591,0.058091110215402,3.526529947916668,0.6943499999999998,0.5766015411480275,0.6396315789473684,1.8822472137986574,2.3999999999999995,0.35265299479166673,0.014693874782986114,0.125,54.98266245383195,2.5,0.0,5.809111021540284,0.8756094996351736,2.458033776520097e-13,24,1,4.8828125000288665e-05,10.387722549125693,3.450714438426969
2.5,99,winter,seed_repeat,24,stochastic,0.0,True,24,10.390338830397333,10.390338830397333,9.695988830397333,9.695988830397333,9.62908439826437,0.066904432132963,0.0,0.6943500000000002,0.4329307845998889,0.6396315789473684,0.6396315789473684,2.3999999999999995,0.0,0.0,0.0,55.380482275796396,2.5,0.0,6.690443213296401,7.040447999956086,1.7319479184152442e-14,24,0,1.1102230246251563e-16,10.387722549125693,0.002616281271640375
2.5,99,winter,seed_repeat,24,cvar_0.5,0.5,True,24,10.39033883039734,10.39033883039734,9.695988830397333,9.695988830397338,9.62908439826437,0.06690443213296299,4.440892098500626e-15,0.6943500000000001,0.43293078459988915,0.6396315789473684,0.6396315789473703,2.3999999999999995,4.440892098500626e-16,1.850371707708594e-17,0.0,55.3804822757964,2.5,0.0,6.690443213296399,7.201385599910282,3.0109248427834245e-13,24,0,1.1102230246251563e-16,10.387722549125693,0.0026162812716474804
